"AmLaw Rank","FP ID - Firm"
"1","1475"
"2","1522"
"3","2728"
"4","956"
"5","2250"
"6","2235"
"7","1072"
"8","2131"
"9","2416"
"10","1828"
"11","1181"
"12","1382"
"13","2241"
"14","1127"
"15","1892"
"16","1079"
"17","1466"
"18","2088"
"19","980"
"20","991"
"21","1977"
"22","1735"
"23","1714"
"24","2319"
"25","1223"
"26","2408"
"27","1974"
"28","981"
"29","1788"
"30","2433"
"31","2440"
"32","979"
"33","1961"
"34","2105"
"35","2452"
"36","948"
"37","996"
"38","1843"
"39","1000"
"40","1406"
"41","2278"
"42","2068"
"43","2008"
"44","2505"
"45","1012"
"46","950"
"47","955"
"49","2197"
"51","112675539"
"52","1770"
"54","2390"
"55","1007"
"56","1900"
"57","2532"
"58","1033"
"59","2181"
"60","2051"
"61","968"
"62","112674879"
"63","9658"
"64","2381"
"65","1865"
"66","1428"
"67","1008"
"68","2034"
"69","8259"
"70","957"
"71","1606"
"72","1015"
"73","960"
"74","1663"
"75","983"
"76","1948"
"77","1005"
"78","1806"
"79","961"
"80","1345"
"81","2600"
"82","1272"
"84","985"
"85","1140"
"86","1363"
"87","952"
"88","2720"
"90","1879"
"91","992"
"92","946"
"93","1455"
"96","1010"
"97","1682"
"98","2285"
"99","959"
"100","1003"
"102","2209"
"103","2487"
"104","1487"
"107","5424"
"108","1688"
"109","1705"
"111","1695"
"112","2259"
"113","976"
"114","1002"
"116","2079"
"117","1011"
"118","1009"
"120","3434"
"121","2371"
"122","1001"
"124","1847"
"126","1506"
"127","969"
"128","1049"
"130","3597"
"131","2114"
"132","2299"
"133","2149"
"134","974"
"135","1484"
"137","2541"
"139","965"
"141","2343"
"142","8135"
"143","966"
"144","1238"
"145","2638"
"146","2351"
"147","4675"
"150","962"
"151","1416"
"152","1437"
"156","973"
"157","2397"
"158","1006"
"159","949"
"160","954"
"161","1165"
"163","2668"
"166","1784"
"168","2612"
"169","1534"
"171","7537"
"172","5260"
"173","2124"
"174","2662"
"175","2691"
"180","10410"
"184","1284"
"185","5559"
"186","4763"
"187","2627"
"188","4822"
"189","8404"
"190","2947"
"192","5052"
"194","4221"
"199","2630"
